LST_2024Ex,LST_2014Ex,LST_2005Ex,NDVI_2024Ex,NDVI_2014Ex,NDVI_2004Ex,UI_2024Ex,UI_2014Ex,UI_2004Ex,Normalised_PD_2024,Normalised_PD_2014,Normalised_PD_2004,Normalised_Nonbuiltup_road_2024,Distance_to_Nonbuiltup_CBD
38.394,39.754,43.147,0.411,0.419,0.401,0.347,0.369,-0.100,0.421,0.324,0.299,0.378,0.301
38.679,39.479,41.217,0.381,0.446,0.345,0.276,0.326,-0.088,0.397,0.342,0.314,0.330,0.294
40.361,40.525,42.417,0.233,0.255,0.279,0.214,0.219,-0.053,0.397,0.342,0.315,0.282,0.286
40.770,40.428,44.690,0.212,0.234,0.299,0.214,0.242,-0.051,0.291,0.271,0.307,0.234,0.282
41.241,38.298,45.449,0.307,0.374,0.297,0.311,0.349,-0.053,0.291,0.271,0.307,0.189,0.282
40.767,39.769,45.820,0.291,0.344,0.327,0.309,0.340,-0.069,0.183,0.189,0.187,0.141,0.283
40.763,40.803,45.467,0.327,0.207,0.171,0.282,0.269,-0.004,0.183,0.189,0.186,0.093,0.287
41.740,40.106,43.964,0.166,0.181,0.156,0.174,0.177,-0.018,0.126,0.141,0.138,0.060,0.294
30.756,29.880,29.752,-0.077,-0.047,-0.059,-0.277,-0.181,-0.064,0.170,0.174,0.170,0.059,0.306
45.213,41.281,43.967,0.214,0.177,0.135,0.298,0.261,0.025,0.124,0.067,0.074,0.133,0.881
40.350,38.418,40.432,0.338,0.321,0.401,0.319,0.315,-0.104,0.123,0.074,0.075,0.138,0.847
40.769,37.922,41.589,0.347,0.417,0.343,0.320,0.356,-0.075,0.123,0.074,0.075,0.145,0.818
43.381,41.020,44.728,0.146,0.208,0.199,0.155,0.219,-0.016,0.132,0.084,0.078,0.154,0.785
42.233,41.204,43.206,0.197,0.245,0.161,0.263,0.309,0.025,0.132,0.084,0.078,0.176,0.751
44.052,42.826,42.442,0.227,0.202,0.247,0.294,0.291,-0.005,0.135,0.085,0.078,0.201,0.723
40.966,39.893,41.641,0.292,0.293,0.310,0.312,0.327,-0.045,0.135,0.085,0.078,0.226,0.690
42.947,40.178,43.574,0.233,0.367,0.282,0.271,0.346,-0.034,0.095,0.071,0.084,0.249,0.657
